City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
25,Lovozero,RU,68.005,35.0117,19.31,95,100,8.88,overcast clouds
26,Torzhok,RU,57.0436,34.9622,35.8,98,100,16.67,light rain
27,Vyshneve,UA,50.3891,30.3705,50.16,88,51,13.71,broken clouds
28,Lebu,CL,-37.6167,-73.65,65.86,63,1,8.86,clear sky
29,Moses Lake,US,47.1301,-119.2781,35.96,87,100,0.0,mist
30,Faya,SA,18.3851,42.4509,55.51,69,61,2.89,broken clouds
31,Mahebourg,MU,-20.4081,57.7,80.89,83,75,18.41,moderate rain
32,Coromandel,BR,-18.4733,-47.2003,78.69,62,19,5.06,few clouds
33,Jaisalmer,IN,26.9147,70.9181,57.34,14,4,10.56,clear sky
34,Daru,PG,-9.0763,143.2092,77.25,92,100,11.39,overcast clouds
35,Tura,IN,25.5198,90.2201,51.44,57,0,3.2,clear sky
36,Blackwater,AU,-23.5833,148.8833,68.09,84,0,5.73,clear sky
37,Chuy,UY,-33.6971,-53.4616,77.65,57,14,14.38,few clouds
38,Taoudenni,ML,22.6783,-3.9836,72.0,14,100,9.69,overcast clouds
39,Grand Gaube,MU,-20.0064,57.6608,81.0,86,100,8.01,moderate rain
40,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,75,56,6.31,broken clouds
41,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,18.41,scattered clouds
42,Busselton,AU,-33.65,115.3333,59.34,71,23,15.28,few clouds
43,Astana,KZ,51.1801,71.446,-9.45,77,0,4.47,mist
44,Kaitangata,NZ,-46.2817,169.8464,61.81,79,29,2.08,scattered clouds
45,Waddan,LY,29.1614,16.139,59.59,23,79,9.62,broken clouds
46,Vaini,TO,-21.2,-175.2,77.16,88,75,0.0,broken clouds
47,Yellowknife,CA,62.456,-114.3525,14.56,92,100,8.05,mist
48,Hermanus,ZA,-34.4187,19.2345,70.81,87,54,6.62,broken clouds
49,Portland,US,45.5234,-122.6762,44.82,92,100,8.99,light rain
50,Sakakah,SA,29.9697,40.2064,51.37,53,0,3.8,clear sky
51,Nuuk,GL,64.1835,-51.7216,18.21,57,100,0.0,light snow
52,Qaanaaq,GL,77.484,-69.3632,-20.67,96,100,4.07,overcast clouds
53,Raymore,US,38.8019,-94.4527,38.68,96,100,9.22,heavy intensity rain
54,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,100,20,19.57,few clouds
55,Kamaishi,JP,39.2667,141.8833,29.71,71,15,4.83,few clouds
56,Cedar City,US,37.6775,-113.0619,31.39,69,0,9.22,clear sky
57,Upernavik,GL,72.7868,-56.1549,-13.81,84,100,4.14,overcast clouds
58,Nanortalik,GL,60.1432,-45.2371,28.58,70,100,12.93,overcast clouds
59,Hambantota,LK,6.1241,81.1185,75.81,65,79,17.74,broken clouds
60,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,10.36,clear sky
61,Provideniya,RU,64.3833,-173.3,-20.16,90,15,8.52,few clouds
62,Isangel,VU,-19.55,169.2667,75.27,97,100,15.66,heavy intensity rain
63,Nikolskoye,RU,59.7035,30.7861,33.69,98,100,9.35,snow
64,Hobart,AU,-42.8794,147.3294,51.66,72,75,14.97,broken clouds
65,Pevek,RU,69.7008,170.3133,-31.95,100,100,2.46,overcast clouds
66,Cape Town,ZA,-33.9258,18.4232,73.09,76,40,5.75,scattered clouds
67,Castro,BR,-24.7911,-50.0119,70.68,88,80,7.87,broken clouds
68,Kapaa,US,22.0752,-159.319,75.18,85,20,4.61,light rain
